,time,surface_sensible_heat_flux_sum,band,snowfall_sum,surface_thermal_radiation_downwards_sum,surface_solar_radiation_downwards_sum,total_precipitation_sum,surface_latent_heat_flux_sum,snow_depth,skin_temperature,surface_snow_amount,avg_volumetric_water_content,average_lake_temperature,temperature_2m
80,2022-02-15 00:00:00,-1.4353056,band_3,1.6349051e-05,243.8451,29.026352,1.6445949e-05,9.584131,0.23864917,262.34042,154.71419,41.15119,271.63855,262.5305
81,2022-02-15 00:00:00,-4.6605773,band_4,1.3067691e-05,231.91962,22.423473,1.3560523e-05,5.8325186,0.32847008,259.5911,164.78535,36.681072,271.5998,260.05548
82,2022-02-15 00:00:00,-6.608925,band_5,7.4596187e-06,212.93774,16.998606,8.269574e-06,2.3532486,0.30372334,254.29788,143.51613,44.5,271.44214,254.84866
83,2022-02-15 00:00:00,-1.9212016,band_6,5.867014e-06,186.10687,11.792581,6.101019e-06,1.4238088,0.30154344,249.29584,78.13092,34.056374,271.4505,250.03813
84,2022-03-16 12:00:00,23.694517,band_1,2.4718125e-05,244.08041,112.36157,2.472849e-05,18.640497,0.07143506,265.18738,499.57303,42.674393,271.72565,265.4896
85,2022-03-16 12:00:00,13.784062,band_2,9.970522e-06,232.02882,111.32547,9.9819235e-06,14.029763,0.18088768,263.2403,177.27682,44.47725,271.627,263.48935
86,2022-03-16 12:00:00,3.004427,band_3,9.614657e-06,216.63506,108.29577,9.614982e-06,10.298392,0.28710467,260.39655,173.42525,41.15119,271.6292,261.08405
87,2022-03-16 12:00:00,1.418326,band_4,1.1007976e-05,204.00368,98.514786,1.1225799e-05,7.178335,0.4347134,257.08182,183.34189,36.681072,271.5739,257.80878
88,2022-03-16 12:00:00,-3.2478905,band_5,9.940554e-06,198.19238,86.78587,9.940624e-06,5.596573,0.39693207,254.30875,162.50992,44.5,271.43585,254.91261
89,2022-03-16 12:00:00,-9.43441,band_6,9.336298e-06,191.10455,73.60527,9.368384e-06,1.7099057,0.37794,251.045,96.33954,34.056374,271.4448,252.12344
90,2022-04-16 00:00:00,46.067722,band_1,3.3593147e-05,263.30515,187.1411,3.3594777e-05,26.980886,0.050787836,268.958,544.149,42.674393,273.2919,269.24158
91,2022-04-16 00:00:00,27.907303,band_2,1.549384e-05,258.0276,196.16164,1.5518193e-05,29.455488,0.18634328,268.9399,176.08983,44.47725,271.6224,269.7493
92,2022-04-16 00:00:00,25.358704,band_3,1.7281754e-05,254.69363,204.87442,1.7532711e-05,26.425226,0.2741946,269.54556,178.5567,41.15119,271.6234,270.42484
93,2022-04-16 00:00:00,26.691212,band_4,1.9103056e-05,246.07835,198.33372,1.911425e-05,17.504463,0.5079574,265.24667,201.77731,36.681072,271.57166,265.7471
94,2022-04-16 00:00:00,24.435366,band_5,1.7615563e-05,238.84901,184.64453,1.7624676e-05,11.893746,0.44141918,262.85004,194.25632,44.5,271.42834,263.41153
95,2022-04-16 00:00:00,3.8559418,band_6,9.462438e-06,238.18127,165.68881,9.65709e-06,3.582468,0.42751718,261.2469,102.24092,34.056374,271.44025,261.67923
96,2022-05-16 12:00:00,17.229015,band_1,2.7426306e-05,302.03287,231.9031,4.1564937e-05,49.400387,0.00084125326,276.4647,600.72644,42.744133,276.4214,276.43185
97,2022-05-16 12:00:00,32.655872,band_2,1.3060396e-05,298.59003,216.78638,3.0322994e-05,57.720802,0.008252702,276.2423,49.81143,43.321793,273.42462,276.50598
98,2022-05-16 12:00:00,24.988104,band_3,1.02070035e-05,296.62054,205.19356,2.5761405e-05,57.821083,0.054410975,277.6557,55.985687,39.684402,271.85403,277.63916
99,2022-05-16 12:00:00,21.95442,band_4,6.372271e-06,291.79156,218.34767,1.8477618e-05,38.231514,0.17596652,276.34796,97.58504,37.157036,271.8162,277.0394
100,2022-05-16 12:00:00,15.587813,band_5,1.101178e-05,284.31323,222.8174,1.6593518e-05,31.907806,0.18353286,275.51535,117.30165,41.182735,271.46378,276.14087
101,2022-05-16 12:00:00,-2.3269305,band_6,6.9329667e-06,275.27676,253.56978,9.261299e-06,6.5252595,0.20003407,270.3886,25.459805,27.121307,271.56793,272.0138
102,2022-06-16 00:00:00,19.787447,band_1,6.083668e-06,329.98544,211.89673,2.9143494e-05,63.302223,0.0,282.61545,386.60916,38.48381,279.98456,282.23514
103,2022-06-16 00:00:00,28.5712,band_2,1.0789267e-06,327.28354,185.43906,3.2597003e-05,71.17392,1.0735821e-08,282.3386,0.0002717897,37.744972,278.53098,282.10416
104,2022-06-16 00:00:00,25.168825,band_3,1.274284e-07,323.52805,218.71179,4.0912655e-05,87.09797,4.238429e-07,283.00403,0.0,38.42104,276.8012,282.78375
105,2022-06-16 00:00:00,28.52935,band_4,1.6218975e-08,325.1203,231.17986,4.4727367e-05,87.22238,5.0281315e-06,283.6211,6.936299e-06,36.917587,277.067,283.2605
106,2022-06-16 00:00:00,27.19075,band_5,3.166841e-07,325.5684,224.57524,3.2348686e-05,59.203926,7.756575e-06,282.29205,0.0,33.54152,272.59274,282.0316
107,2022-06-16 00:00:00,3.7438724,band_6,7.294328e-07,311.20938,240.35338,7.972841e-06,1.0076348,3.8089186e-06,273.82874,0.0,16.978407,271.6703,275.05496
108,2022-07-16 12:00:00,16.986254,band_1,1.8096777e-06,355.2863,178.83049,3.889139e-05,53.8734,0.0,284.54193,43.66619,39.45596,282.71088,284.46118
109,2022-07-16 12:00:00,18.64212,band_2,8.7419795e-07,352.9686,182.08588,4.353447e-05,75.02384,0.0,285.11893,2.1625524e-07,39.75453,280.3763,285.01837
110,2022-07-16 12:00:00,16.504978,band_3,2.5522283e-08,350.04327,193.55016,3.1668722e-05,80.62394,3.8057648e-13,285.4555,0.0,38.99451,280.47867,285.32547
111,2022-07-16 12:00:00,16.185148,band_4,0.0,352.06598,191.42133,3.581531e-05,79.4279,5.9852336e-09,285.77176,0.0,37.154476,279.68994,285.58826
112,2022-07-16 12:00:00,11.83676,band_5,5.1623456e-08,348.5152,169.12483,3.1929845e-05,45.936783,4.372311e-07,283.69504,0.0,37.494728,278.78134,283.95087
113,2022-07-16 12:00:00,-7.3481255,band_6,5.5785282e-08,328.14694,179.09169,1.4565848e-05,-3.919391,2.2238106e-05,274.56992,0.0,19.097382,275.93674,277.03995
114,2022-08-16 12:00:00,17.139418,band_1,1.932197e-05,321.55963,136.10423,5.1031762e-05,48.38267,0.0,280.275,2.0753484,37.07057,282.53458,279.99597
115,2022-08-16 12:00:00,16.247137,band_2,1.548068e-05,316.96616,137.23645,4.9978335e-05,55.52917,0.0,280.42157,0.6839203,39.160835,280.9739,279.4073
116,2022-08-16 12:00:00,15.594505,band_3,1.880336e-05,313.01993,131.98424,4.844778e-05,52.59019,0.0,279.54108,1.3017647,36.472244,281.14618,278.7713
117,2022-08-16 12:00:00,21.333033,band_4,1.4678737e-05,305.56192,141.12221,4.1275656e-05,50.896095,0.0,278.4384,0.621887,36.45022,280.4715,278.2604
118,2022-08-16 12:00:00,23.317812,band_5,1.4610645e-05,296.40918,144.64955,2.2718903e-05,43.784336,0.0,277.6877,0.078028806,35.850674,278.34808,276.91925
119,2022-08-16 12:00:00,10.778062,band_6,8.151648e-06,293.50595,133.98575,1.2673758e-05,17.24171,0.0,276.58585,0.015328552,17.19797,278.2,275.9299
120,2022-09-16 00:00:00,13.420608,band_1,3.3079727e-05,306.2844,104.683945,6.355851e-05,41.516468,0.0,278.51523,5.4093995,35.250153,280.9203,277.06036
121,2022-09-16 00:00:00,13.029001,band_2,1.5562875e-05,301.7836,96.84921,2.939329e-05,43.03612,0.0,278.51443,2.5548995,37.36559,279.9028,276.57538
122,2022-09-16 00:00:00,16.037102,band_3,1.2922021e-05,295.70493,92.73827,2.8914763e-05,34.13187,0.0,276.71683,1.3574542,36.84394,280.01532,275.3303
123,2022-09-16 00:00:00,23.040144,band_4,1.3432236e-05,297.74124,94.06203,2.5118126e-05,40.021637,0.0,277.08005,2.320495,35.72448,278.66052,274.87094
124,2022-09-16 00:00:00,27.024557,band_5,1.56317e-05,301.18326,81.7527,1.9703313e-05,40.404366,0.0,277.00198,5.455392,35.747078,277.69962,274.10764
125,2022-09-16 00:00:00,20.821,band_6,1.2542894e-05,293.90463,65.949745,1.7945282e-05,27.124989,0.0,275.24463,2.8472407,17.82211,277.31265,274.33417
126,2022-10-16 12:00:00,47.925884,band_1,6.731652e-05,276.56006,46.120346,6.819826e-05,55.629627,0.0,275.96463,115.03485,35.21039,277.27872,272.46362
127,2022-10-16 12:00:00,45.264202,band_2,2.0862026e-05,274.2156,42.646603,2.584244e-05,46.915905,0.0,274.89633,9.5361,37.21296,276.7094,271.72745
128,2022-10-16 12:00:00,49.446766,band_3,2.1484773e-05,271.108,33.211212,2.3485576e-05,47.313114,0.0,274.43237,8.826805,37.454144,276.61835,270.34772
