,date,band,snow_albedo,snow_cover,snow_density,snow_depth,snowfall_sum,surface_latent_heat_flux_sum,surface_sensible_heat_flux_sum,surface_solar_radiation_downwards_sum,surface_thermal_radiation_downwards_sum,skin_temperature,temperature_2m,total_precipitation_sum,avg_volumetric_water_content,average_latitude
3400,2068-03-16,band_5,0.4300749281594338,0.0,-0.2680247003808753,1.6066525265732026,-0.7625735084014124,-1.1784059869311572,-0.4983600883283128,-0.149458811280674,-2.333190601199163,-2.2560572781689805,-2.19052767576006,-1.3305640747516343,1.4703019062124567,68.31851455
3401,2068-03-16,band_6,0.9535457289729756,0.0,-0.337233381619739,1.2980058587490335,-1.2209756557085538,-1.238923287744716,-0.6712378674666313,-0.216515443074505,-2.7038391027583004,-2.7706907854585947,-2.720454253169338,-1.6927053026754684,1.4703019062124567,70.33078885
3402,2068-04-16,band_1,0.5867968806019763,0.0,2.3049928666716872,-1.0967614082727293,1.5370508082480576,-0.5201376748488677,-0.2794533252614681,0.9390533330005169,-0.0068144775864276,-0.0015191343467024,0.1393620010732312,0.4861810543146704,0.332258299295469,60.26941735
3403,2068-04-16,band_2,-1.1529095283978703,0.0,-0.143956454317671,0.1201518734048057,0.2034006045229144,-0.5207712206616557,0.1217621684420856,0.953161216097818,-0.1948555729615063,-0.0653386559116392,0.1169676243373091,-0.5512854044595373,0.261838047933173,62.28169165
3404,2068-04-16,band_3,-0.564584349190237,0.0,-0.2132413769165545,0.8510837830559558,0.139539265643914,-0.671778936052144,-0.1237439274595847,0.8853705456980968,-0.4373713224697678,-0.2245855222560852,-0.0475907642623971,-0.6148231899085407,0.1776481428677994,64.29396595
3405,2068-04-16,band_4,0.828804194924703,0.0,-0.2780819719053683,2.2525759784416213,-0.5636032693765208,-0.7981865890952123,0.0671856098066592,0.9122256303307956,-0.5082930504375167,-0.3428781609833504,-0.1512271865165916,-1.1499523983795432,-0.0419624410234741,66.30624025
3406,2068-04-16,band_5,0.9808351429727836,0.0,-0.2619292720995606,1.424396807752948,-0.8641717257108088,-0.8814898099283696,-0.1161124207739508,0.8504078189373251,-0.8516802521337843,-0.5084727818751981,-0.3509586964341629,-1.3993733159172612,1.3449103470875414,68.31851455
3407,2068-04-16,band_6,1.14156671803572,0.0,-0.3482092147587278,1.2776461427042176,-0.9732470978589224,-1.135033655348982,-0.9719718133634242,0.8118800503737844,-0.9212269612525072,-0.9682657596733834,-0.8601049838183393,-1.4860190299620837,1.4557925536088892,70.33078885
3408,2068-05-16,band_1,0.8174778707611672,0.0,2.658295630587177,0.3514916720432939,1.2227721747797151,0.8413626313949083,0.0322513959549733,0.9385088359334351,0.7694431065454074,0.7743426547683114,0.8496673131186305,0.8953347358960851,-0.1523933363403887,60.26941735
3409,2068-05-16,band_2,-0.1723336401317642,0.0,-0.5603561019324341,-0.0741168776054634,-0.2752779773726801,1.2342258472135317,0.4583774729497674,1.1597773165828795,0.6453284554889778,0.8057196676735808,0.8745263533797958,0.7972234182993974,0.2687302357865975,62.28169165
3410,2068-05-16,band_3,-0.1807994326014691,0.0,-0.587885017589502,-0.0777570794166225,-0.7050438379222631,1.0395456943447785,0.139812989986348,1.3098633545004803,0.6961731292842142,0.7996507696631359,0.8739427179953251,0.2283993820478294,0.5250619136791891,64.29396595
3411,2068-05-16,band_4,-1.2868970814198977,0.0,-0.1892976066227876,-1.3619598216634392,-0.4991827349365179,0.643325989626226,0.3090048218176767,1.633253988286854,0.7594981926862507,0.7464080127618495,0.8478475188542699,-0.3279593799681319,0.4508473112121318,66.30624025
3412,2068-05-16,band_5,0.084950820279373,0.0,0.0122469966919353,-1.5108729085524368,0.1253707024229115,0.3370525710699442,0.2916001984019503,1.7243865476923068,0.3514139460162773,0.5916124880969047,0.6815937173016434,-0.4104850947404181,-0.4903312076368736,68.31851455
3413,2068-05-16,band_6,0.395408086820429,0.0,-0.4118688420556494,-0.9230929033673468,-0.5172563575025,-0.8257130041539279,-0.6161792224601107,1.810220809482735,-0.1461365594191512,-0.0504433832567031,0.0173496752220935,-1.0355782907267823,-0.3474697009504219,70.33078885
3414,2068-06-16,band_1,0.2805759856908343,0.0,0.9124074856658132,0.1206295027376207,-0.7985073424480216,1.6774712952411217,0.1782827179689898,1.0128868884101685,1.27601801385255,1.2576782841158454,1.322999437041347,0.2490978605420509,-0.77128592756678,60.26941735
3415,2068-06-16,band_2,2.873404849813077e-15,0.0,-1.4123996618418732e-15,3.0297470613142854e-15,-1.1472866219741,1.7152251799505145,0.4021398162884374,1.0496043052247082,1.1819353104533907,1.256866208660241,1.3229305489303926,0.6955133702942704,-0.2366859682765078,62.28169165
3416,2068-06-16,band_3,2.873404849813077e-15,0.0,-1.4123996618418732e-15,3.0297470613142854e-15,-1.1008647457990126,2.086153827863124,0.3419595437971193,1.3237995392233726,1.1618636799904434,1.3043443603262126,1.3685689224373323,1.5460753826412252,0.0907824318284776,64.29396595
3417,2068-06-16,band_4,2.873404849813077e-15,0.0,-1.4123996618418732e-15,3.0297470613142854e-15,-1.0768327247415064,1.8273846484455492,0.4358418874320649,1.2526150765106532,1.1795367291351782,1.2697840493182906,1.322710489687069,0.8182095682831174,-0.3066374056076664,66.30624025
