,date,band,snow_albedo,snow_cover,snow_density,snow_depth,snowfall_sum,surface_latent_heat_flux_sum,surface_sensible_heat_flux_sum,surface_solar_radiation_downwards_sum,surface_thermal_radiation_downwards_sum,skin_temperature,total_precipitation_sum,avg_volumetric_water_content,average_latitude
2251,2052-04-16,band_2,-1.6658594540260547,0.0,-0.2003465632724705,1.3839667010139218,0.101693275164441,-0.6661354601557841,0.0849448553931166,1.1165354042521145,-0.6171427645395869,-0.4461107072850125,-0.6875925852915041,0.6254927939542974,62.28169165
2252,2052-04-16,band_3,-1.355759176300131,0.0,-0.2105547988836655,1.6911505408972043,-0.3680820578332878,-0.7590891663904293,-0.0350605019683206,1.0989485613462746,-0.7471846377986522,-0.5577945213923964,-1.1025897536898537,1.319803366392123,64.29396595
2253,2052-04-16,band_4,-1.058325238513938,0.0,-0.340817722871422,4.895007997218399,-0.4816323200267361,-0.8018829475289547,0.259696155473341,1.139731980744269,-0.9559778620051598,-0.7291390901517765,-1.2051407281774833,1.3406144141682923,66.30624025
2254,2052-04-16,band_5,-0.1038603339445516,0.0,-0.2857341517208934,1.59591479637426,-0.5480286744790651,-0.8796001603504505,0.0279023006635301,1.1129279187171146,-1.2147433099964289,-1.004773965211475,-1.2600826034575623,1.34091827747797,68.31851455
2255,2052-04-16,band_6,0.7489145885458309,0.0,-0.346392980248549,1.753485831541424,-0.5564648997015769,-1.2897209044455225,-0.9207080587550388,1.0769170482759287,-1.4577103797059985,-1.4962846777876495,-1.2637238590352995,0.975358752813701,70.33078885
2256,2052-05-16,band_1,0.4881332230928843,0.0,1.912642480568682,0.1502630179689201,-0.0325645692714601,0.3331077838397804,0.2240331003464884,1.7947318062277633,0.7506674252243197,0.589855812694024,-0.1483215765434072,0.6271037138401342,60.26941735
2257,2052-05-16,band_2,-0.11327020679934,0.0,-0.4437699427028037,-0.0348928991457989,-0.040409868326724,0.5223471400717329,0.5897999600963661,1.496324205579178,0.5492139910864292,0.4656465026964235,-0.1905833639020845,0.3042175013861488,62.28169165
2258,2052-05-16,band_3,-2.417451202946228,0.0,0.7185232715850793,-1.7420195390038593,-0.3903624587128098,0.2195625809256095,0.1540213355537065,1.400378425411455,0.4816175615202935,0.4872819107002962,-0.4131969999036439,0.5875109056551242,64.29396595
2259,2052-05-16,band_4,-2.309523023184402,0.0,-0.3051265985228098,-0.3991322551297452,-0.3244051448185386,0.194751030034962,0.3364368121324423,1.3031399629270242,0.4865653990041111,0.3824687799476769,-0.3754178749829231,0.6031080828735671,66.30624025
2260,2052-05-16,band_5,-1.2269173367128434,0.0,0.0454283620332691,-1.6022740844369157,-0.5511526138090327,0.0707417454192082,0.6179593044598533,1.4797827614485095,0.1754350906419698,0.3017552220593899,-0.7166024052503123,0.7999134099405723,68.31851455
